symbol,code,name,industry,listing_time
688449.SSE,688449,联芸科技,软件和信息技术服务业,2024-11-29
920128.BSE,920128,胜业电气,电气机械和器材制造业,2024-11-29
603395.SSE,603395,红四方,化学原料和化学制品制造业,2024-11-26
301631.SZSE,301631,壹连科技,计算机、通信和其他电子设备制造业,2024-11-22
688750.SSE,688750,金天钛业,有色金属冶炼和压延加工业,2024-11-20
920060.BSE,920060,万源通,计算机、通信和其他电子设备制造业,2024-11-19
920111.BSE,920111,聚星科技,电气机械和器材制造业,2024-11-11
603205.SSE,603205,健尔康,专用设备制造业,2024-11-07
301633.SZSE,301633,港迪技术,软件和信息技术服务业,2024-11-07
301628.SZSE,301628,强达电路,计算机、通信和其他电子设备制造业,2024-10-31
920066.BSE,920066,科拜尔,橡胶和塑料制品业,2024-10-31
920088.BSE,920088,科力股份,开采辅助活动,2024-10-29
688726.SSE,688726,拉普拉斯,专用设备制造业,2024-10-29
301613.SZSE,301613,新铝时代,汽车制造业,2024-10-25
301592.SZSE,301592,六九一二,软件和信息技术服务业,2024-10-24
301626.SZSE,301626,苏州天脉,计算机、通信和其他电子设备制造业,2024-10-24
301556.SZSE,301556,托普云农,软件和信息技术服务业,2024-10-17
301522.SZSE,301522,上大股份,金属制品业,2024-10-16
920019.BSE,920019,铜冠矿建,开采辅助活动,2024-10-11
001279.SZSE,001279,强邦新材,印刷和记录媒介复制业,2024-10-11
301618.SZSE,301618,长联科技,化学原料和化学制品制造业,2024-09-30
688615.SSE,688615,合合信息,软件和信息技术服务业,2024-09-26
301551.SZSE,301551,无线传媒,电信、广播电视和卫星传输服务,2024-09-26
920099.BSE,920099,瑞华技术,专业技术服务业,2024-09-25
603091.SSE,603091,众鑫股份,造纸和纸制品业,2024-09-20
920016.BSE,920016,中草香料,化学原料和化学制品制造业,2024-09-13
301600.SZSE,301600,慧翰股份,计算机、通信和其他电子设备制造业,2024-09-11
301607.SZSE,301607,富特科技,汽车制造业,2024-09-04
001277.SZSE,001277,速达股份,金属制品、机械和设备修理业,2024-09-03
688710.SSE,688710,益诺思,研究和试验发展,2024-09-03
920008.BSE,920008,成电光信,计算机、通信和其他电子设备制造业,2024-08-29
301586.SZSE,301586,佳力奇,铁路、船舶、航空航天和其他运输设备制造业,2024-08-28
603207.SSE,603207,小方制药,医药制造业,2024-08-26
920118.BSE,920118,太湖远大,橡胶和塑料制品业,2024-08-22
301571.SZSE,301571,国科天成,计算机、通信和其他电子设备制造业,2024-08-21
301611.SZSE,301611,珂玛科技,计算机、通信和其他电子设备制造业,2024-08-16
603310.SSE,603310,巍华新材,化学原料和化学制品制造业,2024-08-14
688721.SSE,688721,龙图光罩,计算机、通信和其他电子设备制造业,2024-08-06
301608.SZSE,301608,博实结,计算机、通信和其他电子设备制造业,2024-08-01
603391.SSE,603391,力聚热能,通用设备制造业,2024-07-31
301606.SZSE,301606,绿联科技,计算机、通信和其他电子设备制造业,2024-07-26
301552.SZSE,301552,科力装备,汽车制造业,2024-07-22
301603.SZSE,301603,乔锋智能,通用设备制造业,2024-07-10
603285.SSE,603285,键邦股份,化学原料和化学制品制造业,2024-07-05
603350.SSE,603350,安乃达,电气机械和器材制造业,2024-07-03
603381.SSE,603381,永臻股份,电气机械和器材制造业,2024-06-26
301580.SZSE,301580,爱迪特,专用设备制造业,2024-06-26
301565.SZSE,301565,中仑新材,橡胶和塑料制品业,2024-06-20
688692.SSE,688692,达梦数据,软件和信息技术服务业,2024-06-12
300784.SZSE,300784,利安科技,橡胶和塑料制品业,2024-06-07
301392.SZSE,301392,汇成真空,专用设备制造业,2024-06-05
920002.BSE,920002,万达轴承,通用设备制造业,2024-05-30
301596.SZSE,301596,瑞迪智驱,通用设备制造业,2024-05-13
688530.SSE,688530,欧莱新材,计算机、通信和其他电子设备制造业,2024-05-09
301539.SZSE,301539,宏鑫科技,汽车制造业,2024-04-15
688691.SSE,688691,灿芯股份,软件和信息技术服务业,2024-04-11
920931.BSE,920931,无锡鼎邦,专用设备制造业,2024-04-08
301587.SZSE,301587,中瑞股份,金属制品业,2024-04-08
001389.SZSE,001389,广合科技,计算机、通信和其他电子设备制造业,2024-04-02
920123.BSE,920123,芭薇股份,化学原料和化学制品制造业,2024-03-29
301536.SZSE,301536,星宸科技,计算机、通信和其他电子设备制造业,2024-03-28
001359.SZSE,001359,平安电工,非金属矿物制品业,2024-03-28
920438.BSE,920438,戈碧迦,非金属矿物制品业,2024-03-25
301538.SZSE,301538,骏鼎达,橡胶和塑料制品业,2024-03-20
603344.SSE,603344,星德胜,电气机械和器材制造业,2024-03-20
688695.SSE,688695,中创股份,软件和信息技术服务业,2024-03-13
301588.SZSE,301588,美新科技,橡胶和塑料制品业,2024-03-13
920706.BSE,920706,铁拓机械,专用设备制造业,2024-03-08
603341.SSE,603341,龙旗科技,计算机、通信和其他电子设备制造业,2024-03-01
301591.SZSE,301591,肯特股份,橡胶和塑料制品业,2024-02-28
688584.SSE,688584,上海合晶,计算机、通信和其他电子设备制造业,2024-02-08
301589.SZSE,301589,诺瓦星云,计算机、通信和其他电子设备制造业,2024-02-08
688709.SSE,688709,成都华微,计算机、通信和其他电子设备制造业,2024-02-07
920656.BSE,920656,海昇药业,医药制造业,2024-02-02
301502.SZSE,301502,华阳智能,电气机械和器材制造业,2024-02-02
603082.SSE,603082,北自科技,通用设备制造业,2024-01-30
920496.BSE,920496,许昌智能,电气机械和器材制造业,2024-01-26
603375.SSE,603375,盛景微,计算机、通信和其他电子设备制造业,2024-01-24
301577.SZSE,301577,美信科技,计算机、通信和其他电子设备制造业,2024-01-24
001379.SZSE,001379,腾达科技,通用设备制造业,2024-01-19
601033.SSE,601033,永兴股份,生态保护和环境治理业,2024-01-18
920403.BSE,920403,康农种业,农业,2024-01-18
301567.SZSE,301567,贝隆精密,计算机、通信和其他电子设备制造业,2024-01-16
920806.BSE,920806,云星宇,软件和信息技术服务业,2024-01-11
001387.SZSE,001387,雪祺电气,电气机械和器材制造业,2024-01-11
603312.SSE,603312,西典新能,电气机械和器材制造业,2024-01-11
603325.SSE,603325,博隆技术,通用设备制造业,2024-01-10
920690.BSE,920690,捷众科技,汽车制造业,2024-01-05
688717.SSE,688717,艾罗能源,电气机械和器材制造业,2024-01-03
301566.SZSE,301566,达利凯普,计算机、通信和其他电子设备制造业,2023-12-29
301578.SZSE,301578,辰奕智能,计算机、通信和其他电子设备制造业,2023-12-28
920363.BSE,920363,莱赛激光,仪器仪表制造业,2023-12-28
603004.SSE,603004,鼎龙科技,化学原料和化学制品制造业,2023-12-27
301526.SZSE,301526,国际复材,非金属矿物制品业,2023-12-26
601096.SSE,601096,宏盛华源,金属制品业,2023-12-22
920061.BSE,920061,西磁科技,专用设备制造业,2023-12-21
001358.SZSE,001358,兴欣新材,化学原料和化学制品制造业,2023-12-21
603373.SSE,603373,安邦护卫,商务服务业,2023-12-20
920284.BSE,920284,灵鸽科技,专用设备制造业,2023-12-19
301413.SZSE,301413,安培龙,计算机、通信和其他电子设备制造业,2023-12-18
603231.SSE,603231,索宝蛋白,农副食品加工业,2023-12-15
920375.BSE,920375,派诺科技,软件和信息技术服务业,2023-12-14
301459.SZSE,301459,丰茂股份,橡胶和塑料制品业,2023-12-13
920547.BSE,920547,无锡晶海,医药制造业,2023-12-12
001239.SZSE,001239,永达股份,金属制品业,2023-12-12
301516.SZSE,301516,中远通,计算机、通信和其他电子设备制造业,2023-12-08
688720.SSE,688720,艾森股份,计算机、通信和其他电子设备制造业,2023-12-06
920703.BSE,920703,广厦环能,专用设备制造业,2023-12-05
601083.SSE,601083,锦江航运,水上运输业,2023-12-05
301508.SZSE,301508,中机认检,专业技术服务业,2023-12-01
920579.BSE,920579,机科股份,通用设备制造业,2023-11-30
688652.SSE,688652,京仪装备,专用设备制造业,2023-11-29
301568.SZSE,301568,思泰克,专用设备制造业,2023-11-28
920570.BSE,920570,坤博精工,通用设备制造业,2023-11-23
688653.SSE,688653,康希通信,计算机、通信和其他电子设备制造业,2023-11-17
920522.BSE,920522,纳科诺尔,专用设备制造业,2023-11-16
920132.BSE,920132,泰鹏智能,家具制造业,2023-11-16
001306.SZSE,001306,夏厦精密,通用设备制造业,2023-11-16
688648.SSE,688648,中邮科技,通用设备制造业,2023-11-13
920679.BSE,920679,前进科技,通用设备制造业,2023-11-10
001326.SZSE,001326,联域股份,电气机械和器材制造业,2023-11-09
920833.BSE,920833,美心翼申,通用设备制造业,2023-11-08
603062.SSE,603062,麦加芯彩,化学原料和化学制品制造业,2023-11-07
001376.SZSE,001376,百通能源,电力、热力生产和供应业,2023-11-03
920130.BSE,920130,立方控股,软件和信息技术服务业,2023-11-02
920493.BSE,920493,并行科技,软件和信息技术服务业,2023-11-01
603107.SSE,603107,上海汽配,汽车制造业,2023-11-01
301555.SZSE,301555,惠柏新材,化学原料和化学制品制造业,2023-10-31
001378.SZSE,001378,德冠新材,橡胶和塑料制品业,2023-10-30
920693.BSE,920693,阿为特,金属制品业,2023-10-27
301489.SZSE,301489,思泉新材,计算机、通信和其他电子设备制造业,2023-10-24
603273.SSE,603273,天元智能,专用设备制造业,2023-10-23
920026.BSE,920026,卓兆点胶,专用设备制造业,2023-10-19
301517.SZSE,301517,陕西华达,计算机、通信和其他电子设备制造业,2023-10-17
603193.SSE,603193,润本股份,化学原料和化学制品制造业,2023-10-17
920786.BSE,920786,骑士乳业,畜牧业,2023-10-13
301559.SZSE,301559,中集环科,通用设备制造业,2023-10-11
688657.SSE,688657,浩辰软件,软件和信息技术服务业,2023-10-10
920978.BSE,920978,开特股份,汽车制造业,2023-09-28
301558.SZSE,301558,三态股份,零售业,2023-09-28
688719.SSE,688719,爱科赛博,电气机械和器材制造业,2023-09-28
920665.BSE,920665,科强股份,橡胶和塑料制品业,2023-09-26
603276.SSE,603276,恒兴新材,化学原料和化学制品制造业,2023-09-25
301520.SZSE,301520,万邦医药,研究和试验发展,2023-09-25
301500.SZSE,301500,飞南资源,废弃资源综合利用业,2023-09-21
688716.SSE,688716,中研股份,化学原料和化学制品制造业,2023-09-20
301548.SZSE,301548,崇德科技,通用设备制造业,2023-09-20
920469.BSE,920469,富恒新材,橡胶和塑料制品业,2023-09-18
301550.SZSE,301550,斯菱智驱,汽车制造业,2023-09-15
920519.BSE,920519,万德股份,化学原料和化学制品制造业,2023-09-15
688702.SSE,688702,盛科通信,软件和信息技术服务业,2023-09-14
603075.SSE,603075,热威股份,电气机械和器材制造业,2023-09-11
301529.SZSE,301529,福赛科技,汽车制造业,2023-09-11
688549.SSE,688549,中巨芯,计算机、通信和其他电子设备制造业,2023-09-08
920627.BSE,920627,力王股份,电气机械和器材制造业,2023-09-07
301251.SZSE,301251,威尔高,计算机、通信和其他电子设备制造业,2023-09-06
301507.SZSE,301507,民生健康,医药制造业,2023-09-05
603270.SSE,603270,金帝股份,通用设备制造业,2023-09-01
920976.BSE,920976,视声智能,计算机、通信和其他电子设备制造业,2023-09-01
301525.SZSE,301525,儒竞科技,电气机械和器材制造业,2023-08-30
301528.SZSE,301528,多浦乐,仪器仪表制造业,2023-08-28
688591.SSE,688591,泰凌微,计算机、通信和其他电子设备制造业,2023-08-25
920953.BSE,920953,国子软件,软件和信息技术服务业,2023-08-23
603275.SSE,603275,众辰科技,仪器仪表制造业,2023-08-23
301421.SZSE,301421,波长光电,仪器仪表制造业,2023-08-23
